Entry,Entry name,Status,Protein names,Gene names,Organism,Length,GO
P12688,YPK1_YEAST,reviewed,Serine/threonine-protein kinase YPK1 (EC 2.7.11.1) (Sphingosine-like immunosuppressant resistant protein 2) (Yeast protein kinase 1),YPK1 SLI2 YKL126W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),680,GO:0004672
Q12505,SKS1_YEAST,reviewed,Serine/threonine-protein kinase SKS1 (EC 2.7.11.1) (Suppressor kinase of SNF3),SKS1 SHA3 YPL026C LPB5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),502,GO:0004672
P06782,SNF1_YEAST,reviewed,Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1),SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),633,GO:0004672
Q03656,SKY1_YEAST,reviewed,Serine/threonine-protein kinase SKY1 (SRPK) (EC 2.7.11.1),SKY1 YMR216C YM8261.10C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),742,GO:0004672
P06243,CDC7_YEAST,reviewed,Cell division control protein 7 (EC 2.7.11.1),CDC7 OAF2 YDL017W D2855,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),507,GO:0004672
P32350,KNS1_YEAST,reviewed,Dual specificity protein kinase KNS1 (EC 2.7.12.1),KNS1 YLL019C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),737,GO:0004672
P22216,RAD53_YEAST,reviewed,Serine/threonine-protein kinase RAD53 (EC 2.7.12.1) (CHEK2 homolog) (Serine-protein kinase 1),RAD53 MEC2 SAD1 SPK1 YPL153C P2588,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),821,GO:0004672
P43565,RIM15_YEAST,reviewed,Serine/threonine-protein kinase RIM15 (EC 2.7.11.1),RIM15 TAK1 YFL033C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1770,GO:0004672
P25333,HAL4_YEAST,reviewed,Serine/threonine-protein kinase HAL4/SAT4 (EC 2.7.11.1) (Halotolerance protein 4),SAT4 HAL4 YCR008W YCR046 YCR101 YCR8W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),603,GO:0004672
P38622,RCK1_YEAST,reviewed,Serine/threonine-protein kinase RCK1 (EC 2.7.11.1),RCK1 YGL158W G1854,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),512,GO:0004672
P32491,MKK2_YEAST,reviewed,MAP kinase kinase MKK2/SSP33 (EC 2.7.12.2),MKK2 SSP33 YPL140C LPI6C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),506,GO:0004672
P38110,ATM_YEAST,reviewed,Serine/threonine-protein kinase TEL1 (EC 2.7.11.1) (ATM homolog) (DNA-damage checkpoint kinase TEL1) (Telomere length regulation protein 1),TEL1 YBL088C YBL0706,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2787,GO:0004672
P29295,HRR25_YEAST,reviewed,Casein kinase I homolog HRR25 (EC 2.7.11.1),HRR25 YPL204W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),494,GO:0004672
P31374,PSK1_YEAST,reviewed,Serine/threonine-protein kinase PSK1 (EC 2.7.11.1) (PAS kinase 1),PSK1 YAL017W FUN31 YAL002,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1356,GO:0004672
A6ZU07,ATG1_YEAS7,reviewed,Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1),ATG1 SCY_1890,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),897,GO:0004672
Q08732,HRK1_YEAST,reviewed,Serine/threonine-protein kinase HRK1 (EC 2.7.11.1) (Hygromycin resistance kinase 1),HRK1 YOR267C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),759,GO:0004672
P13185,KIN1_YEAST,reviewed,Serine/threonine protein kinase KIN1 (EC 2.7.11.1),KIN1 YDR122W YD9727.17,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1064,GO:0004672
P32490,MKK1_YEAST,reviewed,MAP kinase kinase MKK1/SSP32 (EC 2.7.12.2),MKK1 SSP32 YOR231W O5095,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),508,GO:0004672
Q03957,CTK1_YEAST,reviewed,CTD kinase subunit alpha (CTDK-I subunit alpha) (EC 2.7.11.23) (CTD kinase 58 kDa subunit) (CTD kinase subunit 1),CTK1 YKL139W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),528,GO:0004672
A6ZQG7,HAL5_YEAS7,reviewed,Serine/threonine-protein kinase HAL5 (EC 2.7.11.1) (Halotolerance protein 5),HAL5 SCY_3128,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),855,GO:0004672
P06242,KIN28_YEAST,reviewed,Serine/threonine-protein kinase KIN28 (EC 2.7.11.23),KIN28 YDL108W D2330,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),306,GO:0004672
P38623,RCK2_YEAST,reviewed,Serine/threonine-protein kinase RCK2 (EC 2.7.11.1) (CAM kinase-like protein kinase CLK1),RCK2 CLK1 CMK3 YLR248W L9672.6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),610,GO:0004672
Q03306,PKH3_YEAST,reviewed,Serine/threonine-protein kinase PKH3 (EC 2.7.11.1) (Pkb-activating kinase homolog 3),PKH3 YDR466W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),898,GO:0004672
P24719,MEK1_YEAST,reviewed,Meiosis-specific serine/threonine-protein kinase MEK1 (EC 2.7.11.1),MEK1 MRE4 YOR351C O6357,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),497,GO:0004672
P15442,GCN2_YEAST,reviewed,eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (General control non-derepressible protein 2) (Serine/threonine-protein kinase GCN2),GCN2 AAS1 YDR283C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1659,GO:0004672
P17157,PHO85_YEAST,reviewed,Cyclin-dependent protein kinase PHO85 (EC 2.7.11.22) (Negative regulator of the PHO system) (Serine/threonine-protein kinase PHO85),PHO85 SSG3 YPL031C P7102.18A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),305,GO:0004672
Q12236,PKH2_YEAST,reviewed,Serine/threonine-protein kinase PKH2 (EC 2.7.11.1) (PKB-activating kinase homolog 2),PKH2 YOL100W HRC1081,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1081,GO:0004672
P38615,RIM11_YEAST,reviewed,Serine/threonine-protein kinase RIM11/MSD1 (EC 2.7.11.1) (Regulator of IME2 protein 11),RIM11 GSK3 MDS1 YMR139W YM9375.08,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),370,GO:0004672
P40160,RIO2_YEAST,reviewed,Serine/threonine-protein kinase RIO2 (EC 2.7.11.1),RIO2 YNL207W N1342,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),425,GO:0004672
P47116,PTK2_YEAST,reviewed,Serine/threonine-protein kinase PTK2/STK2 (EC 2.7.11.1),PTK2 STK2 YJR059W J1725,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),818,GO:0004672
Q03407,PKH1_YEAST,reviewed,Serine/threonine-protein kinase PKH1 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 1),PKH1 YDR490C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),766,GO:0004672
P36002,PTK1_YEAST,reviewed,Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1),PTK1 POT1 STK1 YKL198C YKL199C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),662,GO:0004672
Q12196,RIO1_YEAST,reviewed,Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (Ribosomal RNA-processing protein 10),RIO1 RRP10 YOR119C O3266 YOR3266C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),484,GO:0004672
P08018,PBS2_YEAST,reviewed,MAP kinase kinase PBS2 (EC 2.7.12.2) (Polymyxin B resistance protein 2) (Suppressor of fluoride sensitivity 4),PBS2 HOG4 SFS4 SSK4 YJL128C J0699,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),668,GO:0004672
P40530,PDK1_YEAST,reviewed,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase 1, mitochondrial (PDK 1) (Pyruvate dehydrogenase kinase 1) (EC 2.7.11.2) (Protein kinase of PDH protein 1) (Pyruvate dehydrogenase complex kinase 1) (PDC kinase 1) ([Pyruvate dehydrogenase [lipoamide]] kinase 1)",PKP1 YIL042C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),394,GO:0004672
P28708,PRR1_YEAST,reviewed,Serine/threonine-protein kinase PRR1 (EC 2.7.11.1) (Pheromone response regulator 1),PRR1 YKL116C YKL516,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),518,GO:0004672
P22211,NPR1_YEAST,reviewed,Nitrogen permease reactivator protein (EC 2.7.11.1) (Serine/threonine-protein kinase NPR1),NPR1 YNL183C N1631,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),790,GO:0004672
Q12310,PRR2_YEAST,reviewed,Serine/threonine-protein kinase PRR2 (EC 2.7.11.1) (Pheromone response regulator 2),PRR2 YDL214C D1014,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),699,GO:0004672
P40494,PRK1_YEAST,reviewed,Actin-regulating kinase PRK1 (EC 2.7.11.1) (p53-regulating kinase 1),PRK1 PAK1 YIL095W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),810,GO:0004672
P53170,PDK2_YEAST,reviewed,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase 2, mitochondrial (PDK 2) (Pyruvate dehydrogenase kinase 2) (EC 2.7.11.2) (Protein kinase of PDH protein 2) (Pyruvate dehydrogenase complex kinase 2) (PDC kinase 2) ([Pyruvate dehydrogenase [lipoamide]] kinase 2)",PKP2 YGL059W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),491,GO:0004672
P53104,ATG1_YEAST,reviewed,Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy protein 3) (Autophagy-related protein 1) (Cytoplasm to vacuole targeting protein 10),ATG1 APG1 AUT3 CVT10 YGL180W G1615,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),897,GO:0004672
P34244,HSL1_YEAST,reviewed,Probable serine/threonine-protein kinase HSL1 (EC 2.7.11.1),HSL1 YKL101W YKL453,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1518,GO:0004672
P47074,MAD3_YEAST,reviewed,Spindle assembly checkpoint component MAD3 (Mitotic MAD3 protein),MAD3 YJL013C J1341,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),515,GO:0004672
P36102,PAN3_YEAST,reviewed,PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3),PAN3 ECM35 YKL025C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),679,GO:0004672
P43568,CAK1_YEAST,reviewed,Serine/threonine-protein kinase CAK1 (EC 2.7.11.22) (CDK-activating kinase),CAK1 CIV1 YFL029C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),368,GO:0004672
P38692,KIC1_YEAST,reviewed,Serine/threonine-protein kinase KIC1 (EC 2.7.11.1) (Kinase that interacts with CDC31) (N-rich kinase 1),KIC1 NRK1 YHR102W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1080,GO:0004672
P06245,KAPB_YEAST,reviewed,cAMP-dependent protein kinase type 2 (PKA 2) (EC 2.7.11.11),TPK2 PKA2 YKR1 YPL203W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),380,GO:0004672
P22517,KCC2_YEAST,reviewed,Calcium/calmodulin-dependent protein kinase II (EC 2.7.11.17),CMK2 YOL016C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),447,GO:0004672
P50873,MRK1_YEAST,reviewed,Serine/threonine-protein kinase MRK1 (EC 2.7.11.1),MRK1 YDL079C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),501,GO:0004672
Q03002,FRK1_YEAST,reviewed,Fatty acyl-CoA synthetase and RNA processing-associated kinase 1 (EC 2.7.11.1),FRK1 YPL141C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),865,GO:0004672
Q12263,GIN4_YEAST,reviewed,Serine/threonine-protein kinase GIN4 (EC 2.7.11.1) (Growth inhibitory protein 4),GIN4 YDR507C D9719.13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1142,GO:0004672
Q06098,ISR1_YEAST,reviewed,Serine/threonine-protein kinase ISR1 (EC 2.7.11.1) (Inhibition of staurosporine resistance protein 1),ISR1 YPR106W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),443,GO:0004672
A6ZZF6,KKQ8_YEAS7,reviewed,Probable serine/threonine-protein kinase KKQ8 (EC 2.7.11.1),KKQ8 SCY_3216,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),724,GO:0004672
P23292,KC12_YEAST,reviewed,Casein kinase I homolog 2 (EC 2.7.11.1),YCK2 CKI1 YNL154C N1755,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),546,GO:0004672
P47042,IKS1_YEAST,reviewed,Probable serine/threonine-protein kinase IKS1 (EC 2.7.11.1) (IRA1 kinase suppressor 1),IKS1 YJL057C J1143,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),667,GO:0004672
P06244,KAPA_YEAST,reviewed,cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25),TPK1 PKA1 SRA3 YJL164C J0541,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),397,GO:0004672
P14681,KSS1_YEAST,reviewed,Mitogen-activated protein kinase KSS1 (MAP kinase KSS1) (EC 2.7.11.24) (Kinase suppressor of SST2),KSS1 YGR040W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),368,GO:0004672
P54199,MPS1_YEAST,reviewed,Serine/threonine-protein kinase MPS1 (EC 2.7.12.2) (Monopolar spindle protein 1) (Regulatory cell proliferation kinase 1),MPS1 RPK1 YDL028C D2785,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),764,GO:0004672
P36005,KDX1_YEAST,reviewed,Serine/threonine-protein kinase KDX1 (EC 2.7.11.1) (Kinase dead X-talker protein 1) (MPK1-like protein kinase 1),KDX1 MLP1 YKL161C YKL615,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),433,GO:0004672
P38691,KSP1_YEAST,reviewed,Serine/threonine-protein kinase KSP1 (EC 2.7.11.1),KSP1 YHR082C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1029,GO:0004672
P21965,MCK1_YEAST,reviewed,Protein kinase MCK1 (EC 2.7.12.1) (Meiosis and centromere regulatory kinase),MCK1 YPK1 YNL307C N0392,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),375,GO:0004672
P36003,NNK1_YEAST,reviewed,Nitrogen network kinase 1 (EC 2.7.11.1),NNK1 YKL171W YKL635,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),928,GO:0004672
Q06315,SKG3_YEAST,reviewed,Protein SKG3 (Suppressor of lethality of KEX2-GAS1 double null mutant protein 3),SKG3 YLR187W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1026,GO:0004672
Q08217,PSK2_YEAST,reviewed,Serine/threonine-protein kinase PSK2 (EC 2.7.11.1) (PAS kinase 2),PSK2 YOL045W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1101,GO:0004672
P53009,SCY1_YEAST,reviewed,Protein kinase-like protein SCY1,SCY1 YGL083W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),804,GO:0004672
P32581,IME2_YEAST,reviewed,Meiosis induction protein kinase IME2/SME1 (EC 2.7.11.1),IME2 SME1 YJL106W J0817,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),645,GO:0004672
P24583,KPC1_YEAST,reviewed,Protein kinase C-like 1 (PKC 1) (EC 2.7.11.13),PKC1 HPO2 STT1 YBL105C YBL0807,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1151,GO:0004672
P38991,IPL1_YEAST,reviewed,Spindle assembly checkpoint kinase (EC 2.7.11.1) (Aurora kinase) (Increase-in-ploidy protein 1),IPL1 YPL209C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),367,GO:0004672
P39962,KC13_YEAST,reviewed,Casein kinase I homolog 3 (EC 2.7.11.1),YCK3 CKI3 YER123W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),524,GO:0004672
P36004,KKQ8_YEAST,reviewed,Probable serine/threonine-protein kinase KKQ8 (EC 2.7.11.1),KKQ8 YKL168C YKL632,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),724,GO:0004672
P25341,KIN82_YEAST,reviewed,Serine/threonine-protein kinase KIN82 (EC 2.7.11.1) (Flippase kinase 2),KIN82 FPK2 YCR091W YCR1153 YCR91W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),720,GO:0004672
P23291,KC11_YEAST,reviewed,Casein kinase I homolog 1 (EC 2.7.11.1),YCK1 CKI2 YHR135C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),538,GO:0004672
P22209,KIN3_YEAST,reviewed,Serine/threonine-protein kinase KIN3 (EC 2.7.11.1),KIN3 NPK1 YAR018C FUN52,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),435,GO:0004672
P39009,DUN1_YEAST,reviewed,DNA damage response protein kinase DUN1 (EC 2.7.11.1),DUN1 YDL101C D2370,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),513,GO:0004672
Q01919,KIN4_YEAST,reviewed,Serine/threonine-protein kinase KIN4 (EC 2.7.11.1),KIN4 KIN3 KIN31 YOR233W O5220,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),800,GO:0004672
P25389,KCC4_YEAST,reviewed,Probable serine/threonine-protein kinase KCC4 (EC 2.7.11.1),KCC4 YCL024W YCL24W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1037,GO:0004672
P22204,DBF2_YEAST,reviewed,Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2),DBF2 YGR092W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),572,GO:0004672
P53739,FPK1_YEAST,reviewed,Flippase kinase 1 (EC 2.7.11.1),FPK1 YNR047W N3449,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),893,GO:0004672
P32361,IRE1_YEAST,reviewed,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],IRE1 ERN1 YHR079C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1115,GO:0004672
P05986,KAPC_YEAST,reviewed,cAMP-dependent protein kinase type 3 (PKA 3) (EC 2.7.11.11),TPK3 PKA3 YKL166C YKL630,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),398,GO:0004672
P13186,KIN2_YEAST,reviewed,Serine/threonine-protein kinase KIN2 (EC 2.7.11.1),KIN2 YLR096W L8004.3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1147,GO:0004672
P27466,KCC1_YEAST,reviewed,Calcium/calmodulin-dependent protein kinase I (EC 2.7.11.17),CMK1 YFR014C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),446,GO:0004672
P32789,ALK2_YEAST,reviewed,Serine/threonine-protein kinase Haspin homolog ALK2 (EC 2.7.11.1),ALK2 YBL009W YBL0317,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),676,GO:0004672
P38970,HAL5_YEAST,reviewed,Serine/threonine-protein kinase HAL5 (EC 2.7.11.1) (Halotolerance protein 5),HAL5 YJL165C J0531,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),855,GO:0004672
P32801,ELM1_YEAST,reviewed,Serine/threonine-protein kinase ELM1 (EC 2.7.11.1),ELM1 YKL048C YKL261,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),640,GO:0004672
P32485,HOG1_YEAST,reviewed,Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24) (High osmolarity glycerol response protein 1),HOG1 SSK3 YLR113W L2931 L9354.2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),435,GO:0004672
P53233,FMP48_YEAST,reviewed,Probable serine/threonine-protein kinase FMP48 (EC 2.7.11.1) (Found in mitochondrial proteome protein 48),FMP48 YGR052W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),369,GO:0004672
Q12003,ENV7_YEAST,reviewed,Serine/threonine-protein kinase ENV7 (EC 2.7.11.1) (Late endosome and vacuole interface protein 7),ENV7 YPL236C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),364,GO:0004672
P23293,BUR1_YEAST,reviewed,Serine/threonine-protein kinase BUR1 (EC 2.7.11.22) (EC 2.7.11.23) (Bypass UAS requirement protein 1) (Suppressor of GPA1-Vall50 mutation protein 1),SGV1 BUR1 YPR161C P9584.8,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),657,GO:0004672
P15790,CSK21_YEAST,reviewed,Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1),CKA1 YIL035C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),372,GO:0004672
P27697,COQ8_YEAST,reviewed,"Atypical kinase COQ8, mitochondrial (EC 2.7.-.-) (Activity of bc1 complex protein 1) (Coenzyme Q protein 8) (Ubiquinone biosynthesis protein COQ8)",COQ8 ABC1 YGL119W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),501,GO:0004672
P16892,FUS3_YEAST,reviewed,Mitogen-activated protein kinase FUS3 (MAP kinase FUS3) (EC 2.7.11.24),FUS3 DAC2 YBL016W YBL03.21 YBL0303,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),353,GO:0004672
P22137,CLH_YEAST,reviewed,Clathrin heavy chain,CHC1 YGL206C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1653,GO:0030479
P40518,ARPC5_YEAST,reviewed,Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC),ARC15 YIL062C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),154,GO:0030479
P47117,ARP3_YEAST,reviewed,Actin-related protein 3 (Actin-like protein ARP3) (Actin-like protein 3),ARP3 ACT4 YJR065C J1760,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),449,GO:0030479
Q04629,SWF1_YEAST,reviewed,Palmitoyltransferase SWF1 (EC 2.3.1.225) (Spore wall formation protein 1),SWF1 PSL10 YDR126W YD9302.01 YD9727.21,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),336,GO:0030479
P21576,VPS1_YEAST,reviewed,Vacuolar protein sorting-associated protein 1,VPS1 LAM1 SPO15 YKR001C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),704,GO:0030479
P33338,SLA2_YEAST,reviewed,Protein SLA2 (Transmembrane protein MOP2),SLA2 END4 MOP2 UFG1 YNL243W N1102,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),968,GO:0030479
P37370,VRP1_YEAST,reviewed,Verprolin,VRP1 END5 MDP2 YLR337C L8300.13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),817,GO:0030479
P38339,RGD1_YEAST,reviewed,RHO GTPase-activating protein RGD1 (RhoGAP) (Related GAP domain protein 1),RGD1 YBR260C YBR1728,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),666,GO:0030479
P39940,RSP5_YEAST,reviewed,E3 ubiquitin-protein ligase RSP5 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase RSP5) (Reverses SPT-phenotype protein 5),RSP5 MDP1 NPI1 YER125W SYGP-ORF41,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),809,GO:0030479
P34758,SCD5_YEAST,reviewed,Protein SCD5 (Protein FTB1),SCD5 FTB1 YOR329C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),872,GO:0030479
P46951,YPP1_YEAST,reviewed,Cargo-transport protein YPP1 (Alpha-synuclein protective protein 1),YPP1 YGR198W G7594,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),817,GO:0030479
P53731,ARPC2_YEAST,reviewed,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),ARC35 YNR035C N3296,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),342,GO:0030479
P40563,AIM21_YEAST,reviewed,Altered inheritance of mitochondria protein 21,AIM21 YIR003W YIB3W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),679,GO:0030479
Q06604,BSP1_YEAST,reviewed,Protein BSP1 (Binding of synaptojanin polyphosphoinositide phosphatase domain protein 1),BSP1 YPR171W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),576,GO:0030479
P53974,ARK1_YEAST,reviewed,Actin-regulating kinase 1 (EC 2.7.11.1),ARK1 YNL020C N2823,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),638,GO:0030479
Q03048,COFI_YEAST,reviewed,Cofilin (Actin-depolymerizing factor 1),COF1 YLL050C L0596,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),143,GO:0030479
P39013,END3_YEAST,reviewed,Actin cytoskeleton-regulatory complex protein END3 (Endocytosis protein 3),END3 YNL084C N2307,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),349,GO:0030479
P47068,BBC1_YEAST,reviewed,Myosin tail region-interacting protein MTI1 (Protein BBC1),BBC1 MTI1 YJL020C J1286 J1305 YJL021C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1157,GO:0030479
